  
       XFOIL         Version 6.99
  
 Calculated polar for: 000001                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.040 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   1.000  -0.0835   0.05054   0.04043  -0.0615   1.0000   0.3409
   2.000   0.0031   0.05005   0.03971  -0.0602   1.0000   0.4212
   3.000   0.0838   0.05130   0.04110  -0.0570   1.0000   0.5610
   4.000   0.1718   0.05150   0.04205  -0.0573   1.0000   1.0000
   5.000   0.2545   0.05646   0.04613  -0.0590   1.0000   1.0000
   6.000   0.3207   0.06212   0.05162  -0.0588   1.0000   1.0000
   7.000   0.4478   0.07434   0.06412  -0.0720   0.9337   1.0000
   8.000   0.8574   0.05598   0.04677  -0.0889   0.5977   1.0000
   9.000   1.2341   0.04717   0.03456  -0.1049   0.2682   1.0000
  11.000   1.4480   0.07238   0.06134  -0.1070   0.2061   1.0000
  12.000   1.3722   0.08605   0.07612  -0.0861   0.2061   1.0000
  13.000   1.0767   0.11849   0.10967  -0.0732   0.2260   1.0000
   1.000  -0.0835   0.05054   0.04043  -0.0615   1.0000   0.3409
   2.000   0.0031   0.05005   0.03971  -0.0602   1.0000   0.4212
   3.000   0.0838   0.05130   0.04110  -0.0570   1.0000   0.5610
   4.000   0.1718   0.05150   0.04205  -0.0573   1.0000   1.0000
   5.000   0.2545   0.05646   0.04613  -0.0590   1.0000   1.0000
   6.000   0.3207   0.06212   0.05162  -0.0588   1.0000   1.0000
   7.000   0.4478   0.07434   0.06412  -0.0720   0.9337   1.0000
   8.000   0.8574   0.05598   0.04677  -0.0889   0.5977   1.0000
   9.000   1.2341   0.04717   0.03456  -0.1049   0.2682   1.0000
  11.000   1.4480   0.07238   0.06134  -0.1070   0.2061   1.0000
  12.000   1.3722   0.08605   0.07612  -0.0861   0.2061   1.0000
  13.000   1.0767   0.11849   0.10967  -0.0732   0.2260   1.0000
   1.000  -0.0835   0.05054   0.04043  -0.0615   1.0000   0.3409
   2.000   0.0031   0.05005   0.03971  -0.0602   1.0000   0.4212
   3.000   0.0838   0.05130   0.04110  -0.0570   1.0000   0.5610
   4.000   0.1718   0.05150   0.04205  -0.0573   1.0000   1.0000
   5.000   0.2545   0.05646   0.04613  -0.0590   1.0000   1.0000
   6.000   0.3207   0.06212   0.05162  -0.0588   1.0000   1.0000
   7.000   0.4478   0.07434   0.06412  -0.0720   0.9337   1.0000
   8.000   0.8574   0.05598   0.04677  -0.0889   0.5977   1.0000
   9.000   1.2341   0.04717   0.03456  -0.1049   0.2682   1.0000
  11.000   1.4480   0.07238   0.06134  -0.1070   0.2061   1.0000
  12.000   1.3722   0.08605   0.07612  -0.0861   0.2061   1.0000
  13.000   1.0767   0.11849   0.10967  -0.0732   0.2260   1.0000
   1.000  -0.0835   0.05054   0.04043  -0.0615   1.0000   0.3409
   2.000   0.0031   0.05005   0.03971  -0.0602   1.0000   0.4212
   3.000   0.0838   0.05130   0.04110  -0.0570   1.0000   0.5610
   4.000   0.1718   0.05150   0.04205  -0.0573   1.0000   1.0000
   5.000   0.2545   0.05646   0.04613  -0.0590   1.0000   1.0000
   6.000   0.3207   0.06212   0.05162  -0.0588   1.0000   1.0000
   7.000   0.4478   0.07434   0.06412  -0.0720   0.9337   1.0000
   8.000   0.8574   0.05598   0.04677  -0.0889   0.5977   1.0000
   9.000   1.2341   0.04717   0.03456  -0.1049   0.2682   1.0000
